Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
Water Department,1493756549,1522871791,Total Trash Removed 2011-2017,208,72,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Total-Trash-Removed-2011-2017/wvmz-5tjv,1522871344,362,25
Development,1515715680,1522466761,PED_RCFireRecovery_BldgPermits_Detail,30,71,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Development/PED_RCFireRecovery_BldgPermits_Detail/7h77-3dbq,1521562383,108,30
Government,1501090184,1515605730,"Point In Time Homeless Survey, 2017 Data",14,245,"['homeless', 'survey', 'veteran', 'minor', 'adult', 'shelter', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Point-In-Time-Homeless-Survey-2017-Data/d5jk-fziy,1515605537,277,250
Transportation,1492555554,1522857712,TRANSIT_OnTimePerformance,343,69,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Transportation/TRANSIT_OnTimePerformance/pnmp-w4zh,1522857516,376,25
Police,1489705423,1521840028,PD_Arrest_DUI,440,69,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/PD_Arrest_DUI/vq7j-xhv3,1521829268,409,37
Police,1487006111,1524614449,BWC Duration Year/Month,10,68,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/BWC-Duration-Year-Month/64mf-ud4j,1524614361,440,5
Recreation and Culture,1488566437,1522950688,RP_TempEmployeeInfo,275,67,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Recreation-and-Culture/RP_TempEmployeeInfo/p664-v3tk,1522950608,422,24
Police,1489706295,1521840082,PD_Response_Time_By_Priority,244,65,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/PD_Response_Time_By_Priority/ubbn-c754,1521829272,409,37
HCS Department,1491842034,1520294833,HCS_HomelessServices,329,60,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/HCS-Department/HCS_HomelessServices/7dqk-siej,1520291841,384,55
Recreation and Culture,1481596642,1492092183,Park Assets,421,57,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Recreation-and-Culture/Park-Assets/n9u9-hg9y,1492092003,503,381
Development,1518811430,1524929042,Resilient City Fire Recovery Progress_MapDetail,15,56,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Development/Resilient-City-Fire-Recovery-Progress_MapDetail/qp4e-chda,1524950103,72,1
Police,1487789769,1522085580,Police Training,340,55,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/Police-Training/d72g-ty5f,1522084511,431,34
Police,1489705751,1521840506,PD_Call_For_Service,254,52,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/PD_Call_For_Service/atj3-sc8n,1521829265,409,37
Water Department,1494436122,1522871170,Homeless camps 2016-2017,477,50,"['trash', 'creek stewardship', 'homeless', 'sac crew', 'creek', 'waterway', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Homeless-camps-2016-2017/y4xk-tesy,1522871027,354,25
Government,1501011709,1515605324,"Point In Time Unsheltered Homeless Census, 2017 Data By Gender",4,154,"['homeless', 'inventory', 'count', 'gender', 'male', 'female', 'transgender.  hud', 'housing and urban development', 'hud', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Point-In-Time-Unsheltered-Homeless-Census-2017-Dat/s2dx-7uyt,1515605391,278,254
Finances,1499385584,1499709893,Santa Rosa Revenue Budget,225,47,"['revenue', 'budget', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Finances/Santa-Rosa-Revenue-Budget/kyn7-bzfb,1499709746,297,293
Transportation,1486568136,1522857460,TPW_StreetsMeasures,339,47,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Transportation/TPW_StreetsMeasures/3tjm-zqnz,1522857448,445,25
Transportation,1492546729,1492546941,CIP Performance Measures Spreadsheet (1),312,47,"['cip', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Transportation/CIP-Performance-Measures-Spreadsheet-1-/mis5-77k5,1492546774,376,376
Fire,1481165171,1490649071,FD Percent OnTime Performance Measure,238,46,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Fire/FD-Percent-OnTime-Performance-Measure/r825-utbp,1490649347,508,398
Community,1492205279,1522946764,HCS_CE_Cases1stInvestigated,234,36,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Community/HCS_CE_Cases1stInvestigated/5yix-bvre,1522944278,380,24
Community,1492210078,1522855634,HCS_CE_CasesClosed,261,33,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Community/HCS_CE_CasesClosed/whfi-2uan,1522943818,380,25
Community,1492205270,1522855526,HCS_CE_CasesOpened,282,30,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Community/HCS_CE_CasesOpened/22zz-n7vg,1522944281,380,25
Government,1512677732,1513364932,Nixle Alert Data,11,84,"['nixle', 'alert', 'data', 'county of sonoma', 'fire', '2017', 'text', 'public', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Nixle-Alert-Data/t8rm-jkfw,1513364663,143,137
Water Department,1494429571,1522874749,Source of Trash Removal,270,26,"['trash', 'creek stewardship', 'homeless', 'sac crew', 'creek', 'waterway', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Source-of-Trash-Removal/3tf9-4e8x,1522874688,354,25
Water Department,1489084805,1522789262,Water Reuse Plant Electrical,359,24,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Water-Reuse-Plant-Electrical/kkue-ex28,1522789035,416,26
Water Department,1491415348,1491429144,SSOs Per 100 Miles Per Year,333,23,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/SSOs-Per-100-Miles-Per-Year/3qnb-jxh7,1491429023,389,389
IT Department,1513966804,1522855891,IT_ServiceRequests,33,23,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/IT-Department/IT_ServiceRequests/9888-8p8g,1522855879,128,25
IT Department,1492047410,1492047694,IT Comparable Cities,380,20,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/IT-Department/IT-Comparable-Cities/tgbf-9qh2,1492047449,382,382
Transportation,1493927210,1512521965,TPW_FleetUnscheduledMaintWork,230,19,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Transportation/TPW_FleetUnscheduledMaintWork/8zmp-i258,1512520641,360,145
Water Department,1494437254,1494437449,Types of Debris Removed 2016/2017,228,18,"['trash', 'creek stewardship', 'homeless', 'sac crew', 'creek', 'waterway', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Types-of-Debris-Removed-2016-2017/rtkw-tq6t,1494437382,354,354
Water Department,1491413186,1492476979,Turf Replacement Program,225,18,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Turf-Replacement-Program/krnv-vg2v,1492470282,389,377
Development,1519353290,1524929061,Resilient City Fire Recovery Building Plans Change Status,28,18,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Development/Resilient-City-Fire-Recovery-Building-Plans-Change/9pbb-9b7s,1524950130,66,1
Water Department,1491253287,1491425510,Customer Participation,232,17,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Water-Department/Customer-Participation/74rw-r5tw,1491425355,391,391
Government,1523662334,1523663794,Public WiFi Content Overview,1,16,"['public wifi traffic', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Government/Public-WiFi-Content-Overview/kekr-u3r3,1523663791,16,16
